,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
11056,11056,2013-12-29,2013,17,False,Minnesota Vikings,14.0,13.0,Detroit Lions,DET,"(-2.5, 0)","(49.5, 0)",Mall of America Field,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
11088,11088,2014-09-07,2014,1,False,St. Louis Rams,6.0,34.0,Minnesota Vikings,LAR,"(-3.0, 0)","(43.0, 0)",Edward Jones Dome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
11099,11099,2014-09-14,2014,2,False,Minnesota Vikings,7.0,30.0,New England Patriots,NE,"(-3.5, 0)","(49.0, 0)",TCF Bank Stadium,False,65.0,"(11.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11118,11118,2014-09-21,2014,3,False,New Orleans Saints,20.0,9.0,Minnesota Vikings,NO,"(-10.0, 0)","(49.5, 0)",Louisiana Superdome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
11130,11130,2014-09-28,2014,4,False,Minnesota Vikings,41.0,28.0,Atlanta Falcons,ATL,"(-5.5, 0)","(47.5, 0)",TCF Bank Stadium,False,80.0,"(8.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11137,11137,2014-10-02,2014,5,False,Green Bay Packers,42.0,10.0,Minnesota Vikings,GB,"(-8.5, 0)","(46.5, 0)",Lambeau Field,False,63.0,"(7.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 1, 0, 0, 0]"
11159,11159,2014-10-12,2014,6,False,Minnesota Vikings,3.0,17.0,Detroit Lions,MIN,"(-1.0, 0)","(43.0, 0)",TCF Bank Stadium,False,61.0,"(20.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11169,11169,2014-10-19,2014,7,False,Buffalo Bills,17.0,16.0,Minnesota Vikings,BUF,"(-7.0, 0)","(43.0, 0)",Ralph Wilson Stadium,False,45.0,"(8.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11194,11194,2014-10-26,2014,8,False,Tampa Bay Buccaneers,13.0,19.0,Minnesota Vikings,TB,"(-1.0, 0)","(43.0, 0)",Raymond James Stadium,False,78.0,"(7.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
11204,11204,2014-11-02,2014,9,False,Minnesota Vikings,29.0,26.0,Washington Redskins,WAS,"(-1.0, 0)","(44.0, 0)",TCF Bank Stadium,False,54.0,"(12.0, 0)","(0, 1)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
