,Unnamed: 0,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
2512,2512,1979-09-02,1979,1,False,St. Louis Cardinals,21.0,22.0,Dallas Cowboys,DAL,"(-4.0, 0)","(37.0, 0)",Busch Memorial Stadium,False,76.0,"(7.0, 0)","(73.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2524,2524,1979-09-09,1979,2,False,New York Giants,14.0,27.0,St. Louis Cardinals,ARI,"(-3.0, 0)","(36.0, 0)",Giants Stadium,False,63.0,"(13.0, 0)","(54.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2541,2541,1979-09-16,1979,3,False,St. Louis Cardinals,21.0,24.0,Pittsburgh Steelers,PIT,"(-6.0, 0)","(40.0, 0)",Busch Memorial Stadium,False,63.0,"(5.0, 0)","(56.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2554,2554,1979-09-23,1979,4,False,St. Louis Cardinals,7.0,17.0,Washington Redskins,ARI,"(-3.0, 0)","(39.0, 0)",Busch Memorial Stadium,False,61.0,"(8.0, 0)","(53.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2563,2563,1979-09-30,1979,5,False,Los Angeles Rams,21.0,0.0,St. Louis Cardinals,LAR,"(-6.0, 0)","(38.0, 0)",Anaheim Stadium,False,65.0,"(10.0, 0)","(80.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2577,2577,1979-10-07,1979,6,False,Houston Oilers,17.0,24.0,St. Louis Cardinals,TEN,"(-7.0, 0)","(39.0, 0)",Houston Astrodome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
2596,2596,1979-10-14,1979,7,False,St. Louis Cardinals,20.0,24.0,Philadelphia Eagles,ARI,"(-3.0, 0)","(38.0, 0)",Busch Memorial Stadium,False,47.0,"(9.0, 0)","(50.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2601,2601,1979-10-21,1979,8,False,Dallas Cowboys,22.0,13.0,St. Louis Cardinals,DAL,"(-10.0, 0)","(39.0, 0)",Texas Stadium,False,81.0,"(24.0, 0)","(63.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2624,2624,1979-10-28,1979,9,False,St. Louis Cardinals,20.0,38.0,Cleveland Browns,ARI,"(-3.0, 0)","(42.0, 0)",Busch Memorial Stadium,False,60.0,"(8.0, 0)","(61.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2639,2639,1979-11-04,1979,10,False,St. Louis Cardinals,37.0,7.0,Minnesota Vikings,ARI,"(-5.0, 0)","(39.0, 0)",Busch Memorial Stadium,False,44.0,"(8.0, 0)","(59.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2653,2653,1979-11-11,1979,11,False,Washington Redskins,30.0,28.0,St. Louis Cardinals,WAS,"(-3.0, 0)","(39.0, 0)",RFK Memorial Stadium,False,55.0,"(12.0, 0)","(79.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2662,2662,1979-11-18,1979,12,False,Philadelphia Eagles,16.0,13.0,St. Louis Cardinals,PHI,"(-3.0, 0)","(39.0, 0)",Veterans Stadium,False,50.0,"(8.0, 0)","(62.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2673,2673,1979-11-25,1979,13,False,Cincinnati Bengals,34.0,28.0,St. Louis Cardinals,CIN,"(-2.0, 0)","(42.0, 0)",Cinergy Field,False,42.0,"(11.0, 0)","(92.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2693,2693,1979-12-02,1979,14,False,St. Louis Cardinals,13.0,10.0,San Francisco 49ers,ARI,"(-6.0, 0)","(43.0, 0)",Busch Memorial Stadium,False,23.0,"(9.0, 0)","(71.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2708,2708,1979-12-09,1979,15,False,St. Louis Cardinals,29.0,20.0,New York Giants,ARI,"(-2.0, 0)","(36.0, 0)",Busch Memorial Stadium,False,39.0,"(11.0, 0)","(48.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2714,2714,1979-12-16,1979,16,False,Chicago Bears,42.0,6.0,St. Louis Cardinals,CHI,"(-4.0, 0)","(37.0, 0)",Soldier Field,False,29.0,"(19.0, 0)","(56.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2746,2746,1980-09-07,1980,1,False,St. Louis Cardinals,35.0,41.0,New York Giants,ARI,"(-7.0, 0)","(42.0, 0)",Busch Memorial Stadium,False,80.0,"(14.0, 0)","(64.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2760,2760,1980-09-14,1980,2,False,San Francisco 49ers,24.0,21.0,St. Louis Cardinals,SF,"(-3.0, 0)","(42.0, 0)",Candlestick Park,False,58.0,"(16.0, 0)","(70.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2768,2768,1980-09-21,1980,3,False,Detroit Lions,20.0,7.0,St. Louis Cardinals,DET,"(-7.5, 0)","(42.0, 0)",Pontiac Silverdome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
2786,2786,1980-09-28,1980,4,False,St. Louis Cardinals,24.0,14.0,Philadelphia Eagles,PHI,"(-6.0, 0)","(44.0, 0)",Busch Memorial Stadium,False,63.0,"(7.0, 0)","(64.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2798,2798,1980-10-05,1980,5,False,New Orleans Saints,7.0,40.0,St. Louis Cardinals,ARI,"(-1.0, 0)","(45.0, 0)",Louisiana Superdome,False,72.0,"(0.0, 0)","(0, 1)","[0, 0, 0, 1, 0, 0, 0, 0, 0]"
2815,2815,1980-10-12,1980,6,False,St. Louis Cardinals,13.0,21.0,Los Angeles Rams,LAR,"(-3.0, 0)","(49.0, 0)",Busch Memorial Stadium,False,49.0,"(10.0, 0)","(54.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2830,2830,1980-10-19,1980,7,False,Washington Redskins,23.0,0.0,St. Louis Cardinals,WAS,"(-4.0, 0)","(39.0, 0)",RFK Memorial Stadium,False,66.0,"(9.0, 0)","(74.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2833,2833,1980-10-26,1980,8,False,Baltimore Colts,10.0,17.0,St. Louis Cardinals,IND,"(-8.0, 0)","(41.0, 0)",Memorial Stadium (Baltimore),False,45.0,"(24.0, 0)","(47.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2856,2856,1980-11-02,1980,9,False,St. Louis Cardinals,24.0,27.0,Dallas Cowboys,DAL,"(-5.0, 0)","(42.0, 0)",Busch Memorial Stadium,False,49.0,"(12.0, 0)","(59.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2871,2871,1980-11-09,1980,10,False,St. Louis Cardinals,27.0,33.0,Atlanta Falcons,ATL,"(-1.0, 0)","(43.0, 0)",Busch Memorial Stadium,False,66.0,"(17.0, 0)","(45.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2877,2877,1980-11-16,1980,11,False,Dallas Cowboys,31.0,21.0,St. Louis Cardinals,DAL,"(-9.0, 0)","(44.0, 0)",Texas Stadium,False,44.0,"(18.0, 0)","(82.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2899,2899,1980-11-23,1980,12,False,St. Louis Cardinals,13.0,21.0,Kansas City Chiefs,ARI,"(-2.0, 0)","(42.0, 0)",Busch Memorial Stadium,False,45.0,"(11.0, 0)","(83.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2911,2911,1980-11-30,1980,13,False,New York Giants,7.0,23.0,St. Louis Cardinals,ARI,"(-2.0, 0)","(43.0, 0)",Giants Stadium,False,39.0,"(18.0, 0)","(65.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2926,2926,1980-12-07,1980,14,False,St. Louis Cardinals,24.0,23.0,Detroit Lions,ARI,"(-2.0, 0)","(40.0, 0)",Busch Memorial Stadium,False,62.0,"(12.0, 0)","(86.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2941,2941,1980-12-14,1980,15,False,Philadelphia Eagles,17.0,3.0,St. Louis Cardinals,PHI,"(-9.0, 0)","(39.0, 0)",Veterans Stadium,False,34.0,"(15.0, 0)","(51.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2956,2956,1980-12-21,1980,16,False,St. Louis Cardinals,7.0,31.0,Washington Redskins,ARI,"(-2.0, 0)","(38.0, 0)",Busch Memorial Stadium,False,15.0,"(7.0, 0)","(54.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2978,2978,1981-09-06,1981,1,False,St. Louis Cardinals,7.0,20.0,Miami Dolphins,PICK,"(0.0, 0)","(38.0, 0)",Busch Memorial Stadium,False,71.0,"(4.0, 0)","(71.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
2984,2984,1981-09-13,1981,2,False,Dallas Cowboys,30.0,17.0,St. Louis Cardinals,DAL,"(-10.0, 0)","(41.0, 0)",Texas Stadium,False,82.0,"(9.0, 0)","(62.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3007,3007,1981-09-20,1981,3,False,St. Louis Cardinals,40.0,30.0,Washington Redskins,ARI,"(-3.0, 0)","(38.0, 0)",Busch Memorial Stadium,False,68.0,"(9.0, 0)","(58.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3021,3021,1981-09-27,1981,4,False,Tampa Bay Buccaneers,20.0,10.0,St. Louis Cardinals,TB,"(-1.0, 0)","(38.0, 0)",Houlihan's Stadium,False,77.0,"(8.0, 0)","(68.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3033,3033,1981-10-04,1981,5,False,St. Louis Cardinals,20.0,17.0,Dallas Cowboys,DAL,"(-5.5, 0)","(44.0, 0)",Busch Memorial Stadium,False,64.0,"(13.0, 0)","(54.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3045,3045,1981-10-11,1981,6,False,New York Giants,34.0,14.0,St. Louis Cardinals,NYG,"(-1.0, 0)","(38.0, 0)",Giants Stadium,False,52.0,"(11.0, 0)","(54.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3051,3051,1981-10-18,1981,7,False,Atlanta Falcons,41.0,20.0,St. Louis Cardinals,ATL,"(-8.0, 0)","(45.0, 0)",Atlanta-Fulton County Stadium,False,68.0,"(16.0, 0)","(71.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3076,3076,1981-10-25,1981,8,False,St. Louis Cardinals,30.0,17.0,Minnesota Vikings,MIN,"(-2.5, 0)","(50.0, 0)",Busch Memorial Stadium,False,45.0,"(9.0, 0)","(52.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3091,3091,1981-11-01,1981,9,False,Washington Redskins,42.0,21.0,St. Louis Cardinals,WAS,"(-4.0, 0)","(46.0, 0)",RFK Memorial Stadium,False,59.0,"(8.0, 0)","(77.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
3104,3104,1981-11-08,1981,10,False,St. Louis Cardinals,10.0,52.0,Philadelphia Eagles,PHI,"(-4.5, 0)","(42.0, 0)",Busch Memorial Stadium,False,57.0,"(8.0, 0)","(54.0, 0)","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
